,Name,Price,CPU,Type CPU,Storage,Type Storage,RAM,Type RAM,Graphic,Brand,Score star,Vote
55,Laptop Dell Inspiron 15 5000 5593 N5I5402W,16.990.000,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,HDD + SSD,4 GB,DDR4,NVIDIA GeForce MX230 2GB,Dell,0,0
56,Laptop Acer Aspire A315-42-R8PX,10.690.000,AMD Ryzen™ 3,3200U,256 GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 3 Graphics,Acer,0,0
57,Laptop Asus X409FJ-EK137T,17.990.000,Intel Core i7,8265U,512 GB,SSD,4 GB,DDR4,NVIDIA GeForce MX230,Asus,0,0
58,LAPTOP HP 15-DA1031TX (5NK55PA),14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,HP,0,0
59,Laptop Dell Vostro 5490 V4I5106W,17.990.000,Intel Core i5,10210U,256 GB PCie,SSD,8 GB,DDR4,Intel UHD Graphics 620,Dell,0,0
60,Laptop Dell Vostro 5370 (V5370B),20.490.000,Core i5,8250U,256 GB,SSD,8 GB,DDR4,AMD Radeon 530,Dell,0,0
61,LAPTOP HP PROBOOK 430 G6 (5YN00PA),16.990.000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
62,Laptop Acer Aspire A315-54-52HT,12.990.000,Core i5,10210U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Acer,0,0
63,Laptop Asus A512FA EJ1170T,12.990.000,i3,8145U,512GB,SSD,4 GB,,,Asus,0,0
64,Laptop Asus A512FA-EJ837T,12.990.000,Intel Core i3,8145U,512 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
65,Laptop Acer A514-52-516K (NX.HMHSV.002),13.990.000,Intel Core i5,10210U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Acer,0,0
66,Laptop Acer Aspire A315-54-59ZJ,13.990.000,Core i5,10210U,512 PCie,SSD,8 GB,DDR4,Intel UHD Graphics,Acer,0,0
67,Laptop Asus S431FA-EB511T,18.600.000,Core i5,8265U,512 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 620,Asus,0,0
68,Laptop Asus FX505DU-AL070T,25.990.000,AMD Ryzen™ 7,3750H,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce® GTX 1660Ti,Asus,0,0
69,Laptop Dell Inspiron 13 7000 2-in-1,26.490.000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics,Dell,0,0
70,Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),23.990.000,Core i5,9300H,1TB,HDD 7200rpm,8 GB,DDR4,NVIDIA GeForce GTX 1650 GDDR5,HP,0,0
71,LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,10.990.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,UHD Intel® 620,LENOVO,0,0
72,Laptop HP 14 CK1004TU (5QH84PA),13.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
73,Laptop Macbook Air 13.3 Inch 2017 (MQD32SA/A),21.490.000,Intel Core i5,Dual Core,128 GB,SSD,,LPDDR3,Intel HD Graphics 6000,Macbook,4.9,10
74,LAPTOP DELL INSPIRON 3480 (N4I5107W) BẠC,13.390.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,DELL,3.0,1
75,LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),26.990.000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,HP,0,0
76,LAPTOP HP PAVILION 15-CS2056TX,15.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX 130,HP,0,0
77,LAPTOP HP PAVILION X36014-DH0103TU,13.590.000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
78,LAPTOP HP PAVILION 14-CE2039TU,14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
79,LAPTOP HP PAVILION 14-CE2038TU,14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
80,LAPTOP HP PAVILION 14-CE2041TU,14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
81,LAPTOP DELL VOSTRO 3480,13.590.000,Intel Core i5,8265U,1TB,HDD,8 GB,DDR4,Intel HD Graphics 620,DELL,0,0
82,LAPTOP ASUS A412FA-EK153T BẠC,15.990.000,Core i5-8265U,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
83,Laptop HP 15S-DU0062TU (6ZF73PA),13.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics,HP,0,0
84,Laptop HP Pavilion 15-CS2031TU (6YZ03PA),12.990.000,Intel Core i3,8145U,1TB,5400 rpm SATA,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
85,Laptop HP Pavilion 15-CS2032TU (6YZ04PA),12.990.000,Intel Core i3,8145U,1TB,5400 rpm SATA,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
86,Laptop HP Pavilion 15-CS2035TU (6YZ08PA),15.990.000,Intel Core i5,8265U,1TB,5400 rpm SATA,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
87,Laptop Asus Vivobook A512FA-EJ099T,10.990.000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
88,LAPTOP HP ENVY 13-AQ0026TU (6ZF38PA),20.990.000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,HP,0,0
89,Laptop Dell Inspiron 3580 (70194511),13.590.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,AMD Radeon 520,Dell,4.7,10
90,Laptop Dell Vostro 5581 (70194501),13.990.000,Intel Core i5,8265U,1TB,HDD,4GB GB,DDR4,Intel UHD Graphics 620,Dell,4.6,10
91,Laptop Asus S531FA (BQ105T),19.290.000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
92,Laptop Asus S531FL (BQ190T),20.790.000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX250,Asus,0,0
93,Laptop Asus A412F-EK224T,16.990.000,Core i5,8265U,512GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
94,Laptop Dell Inspiron N3567,9.990.000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel® HD Graphics 620,Dell,4.4,10
95,Laptop HP ProBook 455 G6 6XA63PA,16.990.000,AMD Ryzen™ 7,2700U,256GB PCie,SSD,8 GB,DDR4,,HP,4.5,10
96,Laptop Asus D570DD-E4028T,16.690.000,AMD Quad Core,R5-3500U,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1050,Asus,0,0
97,Laptop Dell Inspiron N3593 (P75F013N93B),14.590.000,Intel Core i5,1035G1,1TB,HDD,4 GB,,,Dell,0,0
98,Laptop Dell Vostro V3590A (P75F010N90A),15.990.000,Intel Core i5,10210U,1TB,HDD,4 GB,,AMD 610 GDDR5,Dell,0,0
99,Laptop HP 15S-DU1037TX (8RK37PA),17.190.000,Core i5,10210U,512 GB,SSD,8 GB,DDR4,,HP,0,0
100,Laptop HP 15S-DU1040TX (8RE77PA),18.690.000,Intel Core i7,10510U,512 GB,SSD,8 GB,DDR4,,HP,0,0
101,Laptop Asus X409FA-EK201T,13.590.000,Core i5,8265U,512 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
102,Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,23.190.000,Intel Core i7,9750H,512GB,NVMe PCIe SSD M2 - 2280,8 GB,DDR4,Nvidia GTX 1050Ti + UHD 630,MSI,0,0
103,Laptop Asus S531FA-BQ154T,18.590.000,Core i5,8265U,512GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
104,Laptop Dell Inspiron N3593 (P75F013N93A),12.590.000,Intel Core i3,1005G1,1TB,HDD,4 GB,,,Dell,0,0
105,LAPTOP HP PROBOOK 440 G6 (5YM63PA),12.990.000,Intel Core i3,8145U,500 GB,HDD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
106,LAPTOP HP PROBOOK 440 G6 (6FG86PA),22.990.000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,HP,0,0
107,MACBOOK AIR 13.3 INCH 2019 128GB SPACE GRAY (MVFH2SA/A),27.990.000,Intel Core i5,Dual‑core 8th‑gen,128 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 617,MACBOOK,0,0
108,LAPTOP DELL LATITUDE 5490 (70156591),21.990.000,Intel Core i5,8350U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,DELL,0,0
109,Laptop Acer Swift 3 SF314-41-R8VS R5 (NX.HFDSV.002),14.490.000,AMD Ryzen™ 5,3500U,256 GB,SSD,4 GB,DDR4,Vega 8,Acer,0,0
110,LAPTOP HP 15S-DU0041TX (6ZF66PA),17.990.000,Intel Core i7,8565U,1TB,5400 rpm SATA,8 GB,DDR4,NVIDIA GeForce MX130,HP,0,0
111,LAPTOP DELL V5481 (P92G001V81A),19.590.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,DELL,0,0
112,LAPTOP ASUS S530FA-BQ185T,13.690.000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,,ASUS,0,0
113,Laptop Asus P1440FA-FA0420T,11.590.000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
114,LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),8.899.000,Intel Core i3,7200U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,ACER,0,0
115,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),44.490.000,Intel Core i5,Quad-core,256 GB,SSD,8 GB,DDR3L(On board),Intel Iris Plus Graphics 655,MACBOOK,0,0
116,LAPTOP DELL INSPIRON 5584 - N5I5413W-BẠC,19.990.000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX130,DELL,0,0
117,LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,21.090.000,Intel Core i7,8550U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX150,ASUS,1.0,1
118,LAPTOP ASUS VIVOBOOK A512FA-EJ571T,12.390.000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
119,Laptop Asus UM462DA- AI091T,19.990.000,AMD Ryzen™ 5,3500U,512 GB,SSD PCIe,8 GB,DDR4,Radeon™ Vega 8 Graphics,Asus,0,0
120,LAPTOP ASUS VIVOBOOK A512FA-EJ571T,12.390.000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
121,Laptop Asus UM462DA- AI091T,19.990.000,AMD Ryzen™ 5,3500U,512 GB,SSD PCIe,8 GB,DDR4,Radeon™ Vega 8 Graphics,Asus,0,0
122,Laptop Asus S430FA-EB459T,13.490.000,Intel Core i3,8145U,256GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
123,LAPTOP ASUS FX505D-AL003T,22.490.000,AMD Ryzen™ 7,3750H,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
124,MACBOOK AIR 13.3 INCH 2019 128GB GOLD (MVFM2SA/A),27.990.000,Intel Core i5,Dual‑core 8th‑gen,128 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 617,MACBOOK,0,0
125,LAPTOP ACER SWIFT 3 SF315-52-52Z7- NX.GZBSV.004,15.190.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,ACER,0,0
126,Laptop Dell Inspiron 15 5000 5593 N5I5513W,19.990.000,Core i5,1035G1,256GB,SSD,8 GB,DDR4,NVIDIA,Dell,0,0
127,LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),16.990.000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce® GTX 1050,ACER,0,0
128,LAPTOP ACER SWIFT SF114-32-P2SG NX.GZISV.001,9.990.000,Intel Pentium,N5000,64 GB,HDD,4 GB,DDR4,Intel UHD Graphics 605,ACER,0,0
129,LAPTOP ACER ASPIRE A515-53-3153,11.690.000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 605,ACER,0,0
130,LAPTOP LENOVO L340-15IRH (81LK007JVN),19.990.000,Intel Core i7,9750H,1TB,HDD,8 GB,DDR4,GTX 1050,LENOVO,0,0
131,LAPTOP LENOVO THINKPAD E490S 20NGS01N00,21.490.000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,LENOVO,0,0
132,LAPTOP ACER ASPIRE A515-53-30QH (NX.H6BSV.003),11.190.000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ACER,0,0
133,LAPTOP LENOVO THINKPAD L390 20NRS00100,19.790.000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel HD Graphics 620,LENOVO,0,0
134,Laptop Asus A412F-EK223T,11.990.000,Intel Core i3,8145U,512GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
135,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),44.490.000,Intel Core i5,Quad-core,256 GB,SSD,8 GB,DDR3L(On board),Intel Iris Plus Graphics 655,MACBOOK,0,0
136,LAPTOP ASUS A510UA-EJ1217T,10.590.000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
137,Laptop Asus S330FN (EY037T),19.990.000,Intel Core i5,8265U,512 GB,SSD,8 GB,LPDDR3,NVIDIA GeForce MX150,Asus,0,0
138,LAPTOP ASUS S510UA-BQ1249T,14.990.000,Intel Core i5,8250U,,Optane 16GB + 1TB HDD,4 GB,DDR4,Intel UHD Graphics,ASUS,0,0
139,LAPTOP ASUS X509FJ- EJ053T,13.890.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX230,ASUS,0,0
140,LAPTOP DELL INSPIRON 15 5570 (M5I5238),16.490.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,AMD Radeon 530 2GB GDDR5,DELL,0,0
141,LAPTOP ASUS VIVO BOOK S530UA-BQ278T,15.690.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel® UHD Graphics 620,ASUS,0,0
142,LAPTOP DELL INSPIRON 3580 (70188451),21.390.000,Intel Core i7,8565U,2TB,HDD,8 GB,DDR4,AMD Radeon 520,DELL,0,0
143,LAPTOP DELL INSPIRON 14 3476 70181694,17.990.000,Intel Core i7,8550U,1TB,HDD,8 GB,DDR4,AMD Radeon 520,DELL,0,0
144,LAPTOP ASUS VIVOBOOK S530UA - BQ177T,13.290.000,Intel Core i3,8130U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
145,Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),48.990.000,Core i5,Quad-core,512GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 655,Macbook,0,0
146,MÁY TÍNH XÁCH TAY ASUS S510UA - BQ222T,12.490.000,Intel Core i3,8130U,1TB,HDD + SSD,4 GB,DDR4,Intel HD Graphics 620,MÁY,0,0
147,Laptop Acer A515-54-54EU (NX.HN3SV.002),15.690.000,Intel Core i5,10210U,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,Acer,0,0
148,LAPTOP LENOVO L340-15IRH (81LK007HVN),16.990.000,Intel Core i5,9300H,1TB,HDD,8 GB,DDR4,GTX 1050,LENOVO,0,0
149,LAPTOP ACER SWIFT 3 SF314-54-58KB NX.GXZSV.002,17.199.000,Intel Core i5,8250U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,ACER,0,0
150,LAPTOP LENOVO THINKPAD E490S 20NGS01K00,18.890.000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,LENOVO,0,0
151,Laptop Acer Swift 3 SF314-56-38UE,14.199.000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Acer,0,0
152,MACBOOK PRO 13 INCH 128GB 2017 (MPXQ2SA/A),32.490.000,Intel Core i5,Dual Core,128 GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 640,MACBOOK,0,0
153,LAPTOP DELL INSPIRON 3580 (70188451),21.390.000,Intel Core i7,8565U,2TB,HDD,8 GB,DDR4,AMD Radeon 520,DELL,0,0
154,LAPTOP ASUS S530UA-BQ145T,12.690.000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
155,Laptop HP Pavilion 15-CS3010TU (8QN78PA),13.490.000,Intel Core i3,1005G1,,,,DDR4,Intel UHD Graphics,HP,0,0
156,Laptop Asus S530UA BQ034T,12.690.000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
157,LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,19.000.000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce GTX 1050,ACER,0,0
158,LAPTOP LENOVO THINKPAD L390 20NRS00500,25.390.000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,LENOVO,0,0
