Name,Price,CPU,Type_CPU,Storage,Type_Storage,RAM,Type_RAM,Graphic,Weight,Score_star,Vote,Brand,Type_laptop
Laptop HP 14 CK1004TU (5QH84PA),12990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.47 kg,0,0,HP,do-hoa-ky-thuat
LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),26990000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.18 kg,0,0,HP,do-hoa-ky-thuat
LAPTOP HP PAVILION 15-CS2056TX,15990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX 130,,0,0,HP,do-hoa-ky-thuat
Laptop Dell Inspiron N3567,9990000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel® HD Graphics 620,,4.4,10,Dell,do-hoa-ky-thuat
Laptop HP ProBook 455 G6 6XA63PA,18999000,AMD Ryzen™ 7,2700U,256GB PCie,SSD,8 GB,DDR4,,2.0 kg,4.5,10,HP,do-hoa-ky-thuat
Laptop Dell Vostro V3590A (P75F010N90A),16990000,Intel Core i5,10210U,1TB,HDD,4 GB,,AMD 610 GDDR5,,0,0,Dell,do-hoa-ky-thuat
Laptop HP 15S-DU1037TX (8RK37PA),17190000,Core i5,10210U,512 GB,SSD,8 GB,DDR4,,1.74 kg,0,0,HP,do-hoa-ky-thuat
Laptop HP 15S-DU1040TX (8RE77PA),18690000,Intel Core i7,10510U,512 GB,SSD,8 GB,DDR4,,1.74 kg,0,0,HP,do-hoa-ky-thuat
Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,23490000,Intel Core i7,9750H,512GB,NVMe PCIe SSD M2 - 2280,8 GB,DDR4,Nvidia GTX 1050Ti + UHD 630,2.3 kg,0,0,MSI,do-hoa-ky-thuat
LAPTOP DELL V5481 (P92G001V81A),19590000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.55 kg,0,0,DELL,do-hoa-ky-thuat
LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),8699000,Intel Core i3,7200U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.91 kg,0,0,ACER,do-hoa-ky-thuat
Laptop Asus UM462DA- AI091T,20190000,AMD Ryzen™ 5,3500U,512 GB,SSD PCIe,8 GB,DDR4,Radeon™ Vega 8 Graphics,1.6 kg,0,0,Asus,do-hoa-ky-thuat
LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,21090000,Intel Core i7,8550U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX150,1.79 kg,1.0,1,ASUS,do-hoa-ky-thuat
LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,19990000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,MX250,1.85 kg,0,0,HP,do-hoa-ky-thuat
MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),44490000,Intel Core i5,Quad-core,256 GB,SSD,8 GB,DDR3L(On board),Intel Iris Plus Graphics 655,1.37 kg,0,0,MACBOOK,do-hoa-ky-thuat
LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),18490000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce® GTX 1050,2.4 kg,0,0,ACER,do-hoa-ky-thuat
LAPTOP ASUS FX505D-AL003T,22690000,AMD Ryzen™ 7,3750H,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,2.2 kg,0,0,ASUS,do-hoa-ky-thuat
LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),18490000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce® GTX 1050,2.4 kg,0,0,ACER,do-hoa-ky-thuat
LAPTOP ASUS FX505D-AL003T,22690000,AMD Ryzen™ 7,3750H,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,2.2 kg,0,0,ASUS,do-hoa-ky-thuat
LAPTOP ASUS VIVO BOOK S530UA-BQ278T,15190000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel® UHD Graphics 620,1.44 kg,0,0,ASUS,do-hoa-ky-thuat
MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),44490000,Intel Core i5,Quad-core,256 GB,SSD,8 GB,DDR3L(On board),Intel Iris Plus Graphics 655,1.37 kg,0,0,MACBOOK,do-hoa-ky-thuat
Laptop Asus A412F-EK223T,12190000,Intel Core i3,8145U,512GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,,0,0,Asus,do-hoa-ky-thuat
Laptop Dell Inspiron 15 5000 5593 N5I5513W,19690000,Core i5,1035G1,256GB,SSD,8 GB,DDR4,NVIDIA,,0,0,Dell,do-hoa-ky-thuat
LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,16290000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.95 kg,0,0,DELL,do-hoa-ky-thuat
LAPTOP LENOVO L340-15IRH (81LK007HVN),16990000,Intel Core i5,9300H,1TB,HDD,8 GB,DDR4,GTX 1050,2.2 kg,0,0,LENOVO,do-hoa-ky-thuat
Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),47990000,Core i5,Quad-core,512GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 655,1.37 kg,0,0,Macbook,do-hoa-ky-thuat
