Name,Price,CPU,Type_CPU,Storage,Type_Storage,RAM,Type_RAM,Graphic,Weight,Score_star,Vote,Brand,Type_laptop
LAPTOP ASUS X509FA-EJ101T,12590000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.8 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Asus X509FA-EJ201T,12590000,Core i5,8265U,1TB,5400rpm,4 GB,DDR4,Intel UHD Graphics 620,1.9 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP DELL INSPIRON N5480B (P92G001),21990000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.48 kg,0,0,DELL,hoc-tap-van-phong
LAPTOP HP ENVY X360 (6ZF30PA),21890000,AMD Ryzen™ 5,3500U,256 GB,SSD,8 GB,DDR4,Vega 8,1.3 kg,0,0,HP,hoc-tap-van-phong
LAPTOP LENOVO IDEAPAD 330-15IKB (81DE01JSVN),12490000,Intel Core i5,8250U,500 GB,HDD,4 GB,DDR4,AMD Radeon R7 M530 2GB,1.95 kg,0,0,LENOVO,hoc-tap-van-phong
Laptop Dell Vostro 3590 V5I3505W,12490000,Intel Core i3,10110U,1 TB,,4 GB GB,DDR4,Intel UHD Graphics,,0,0,Dell,hoc-tap-van-phong
Laptop Asus X509F-EJ153T,14190000,Core i5,8265U,1 TB,,4 GB,DDR4,NVIDIA GeForce MX230 2GB GDDR5,1.8 kg,0,0,Asus,hoc-tap-van-phong
Laptop HP Pavilion 15 CS2033TU 6YZ14PA Xám,14990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.85 kg,0,0,HP,hoc-tap-van-phong
Laptop HP Pavilion 15 CS2034TU 6YZ06PA Vàng,14990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.85 kg,0,0,HP,hoc-tap-van-phong
Laptop HP ProBook 430 G6 (5YN22PA),15490000,Intel Core i5,8265U,,"HDD 500GB 7200rpm, x1 slot SSD M.2 (SATA/ PCIe)",4 GB,DDR4,Intel UHD Graphics 620,1.49 kg,0,0,HP,hoc-tap-van-phong
Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,15990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,MX130,1.85 kg,0,0,HP,hoc-tap-van-phong
Laptop HP Pavilion X36014-DH0104TU,15990000,Intel Core i5,8265U,1TB,SATA3 (5400 rpm),4 GB,DDR4,Intel UHD Graphics 620,1.607 kg,0,0,HP,hoc-tap-van-phong
Laptop Dell Inspiron 15 5000 5593 N5I5402W,16990000,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,HDD + SSD,4 GB,DDR4,NVIDIA GeForce MX230 2GB,,0,0,Dell,hoc-tap-van-phong
Laptop Acer Aspire A315-42-R8PX,10690000,AMD Ryzen™ 3,3200U,256 GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 3 Graphics,,0,0,Acer,hoc-tap-van-phong
Laptop Asus X409FJ-EK137T,17890000,Intel Core i7,8265U,512 GB,SSD,4 GB,DDR4,NVIDIA GeForce MX230,1.6 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP HP 15-DA1031TX (5NK55PA),13990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,1.77 kg,0,0,HP,hoc-tap-van-phong
Laptop Dell Vostro 5490 V4I5106W,18790000,Intel Core i5,10210U,256 GB PCie,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.49 kg,0,0,Dell,hoc-tap-van-phong
Laptop Dell Vostro 5370 (V5370B),20190000,Core i5,8250U,256 GB,SSD,8 GB,DDR4,AMD Radeon 530,,0,0,Dell,hoc-tap-van-phong
LAPTOP HP PROBOOK 430 G6 (5YN00PA),16390000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.4 kg,0,0,HP,hoc-tap-van-phong
Laptop Acer Aspire A315-54-52HT,12790000,Core i5,10210U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,,0,0,Acer,hoc-tap-van-phong
Laptop Asus A512FA EJ1170T,12790000,i3,8145U,512GB,SSD,4 GB,,,1.8 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus A512FA-EJ837T,12990000,Intel Core i3,8145U,512 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,Asus,hoc-tap-van-phong
Laptop Acer A514-52-516K (NX.HMHSV.002),13990000,Intel Core i5,10210U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,Acer,hoc-tap-van-phong
Laptop Acer Aspire A315-54-59ZJ,13990000,Core i5,10210U,512 PCie,SSD,8 GB,DDR4,Intel UHD Graphics,,0,0,Acer,hoc-tap-van-phong
Laptop Asus S431FA-EB511T,18990000,Core i5,8265U,512 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 620,1.4 kg,0,0,Asus,hoc-tap-van-phong
Laptop Dell Inspiron 13 7000 2-in-1,26190000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics,1.4 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,10990000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,UHD Intel® 620,2.1 kg,0,0,LENOVO,hoc-tap-van-phong
LAPTOP DELL INSPIRON 3480 (N4I5107W) BẠC,13090000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.66 kg,3.0,1,DELL,hoc-tap-van-phong
LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),26990000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.18 kg,0,0,HP,hoc-tap-van-phong
LAPTOP HP PAVILION 15-CS2056TX,15990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX 130,,0,0,HP,hoc-tap-van-phong
LAPTOP HP PAVILION X36014-DH0103TU,13390000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.65 kg,0,0,HP,hoc-tap-van-phong
LAPTOP HP PAVILION 14-CE2039TU,14990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,HP,hoc-tap-van-phong
LAPTOP HP PAVILION 14-CE2038TU,14990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,HP,hoc-tap-van-phong
LAPTOP HP PAVILION 14-CE2041TU,14990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,HP,hoc-tap-van-phong
Laptop Dell Vostro 3480-70187708,13590000,Intel Core i5,8265U,,,8 GB,DDR4,Intel HD Graphics 620,1.9 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP ASUS A412FA-EK153T BẠC,15990000,Core i5-8265U,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.5 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Asus Vivobook A512FA-EJ099T,10990000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP HP ENVY 13-AQ0026TU (6ZF38PA),21990000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.18 kg,0,0,HP,hoc-tap-van-phong
Laptop Dell Inspiron 3580 (70194511),14490000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,AMD Radeon 520,2.19 kg,4.7,10,Dell,hoc-tap-van-phong
Laptop Dell Vostro 5581 (70194501),16290000,Intel Core i5,8265U,1TB,HDD,4GB GB,DDR4,Intel UHD Graphics 620,1.9 kg,4.6,10,Dell,hoc-tap-van-phong
Laptop Asus S531FA (BQ105T),18490000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.8 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus S531FL (BQ190T),19990000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX250,1.8 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus A412F-EK224T,16190000,Core i5,8265U,512GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.4 kg,0,0,Asus,hoc-tap-van-phong
Laptop Dell Inspiron N3567,9990000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel® HD Graphics 620,,4.4,10,Dell,hoc-tap-van-phong
Laptop HP ProBook 455 G6 6XA63PA,18999000,AMD Ryzen™ 7,2700U,256GB PCie,SSD,8 GB,DDR4,,2.0 kg,4.5,10,HP,hoc-tap-van-phong
Laptop Asus D570DD-E4028T,16990000,AMD Quad Core,R5-3500U,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1050,,0,0,Asus,hoc-tap-van-phong
Laptop Dell Inspiron N3593 (P75F013N93B),15290000,Intel Core i5,1035G1,1TB,HDD,4 GB,,,,0,0,Dell,hoc-tap-van-phong
Laptop Dell Vostro V3590A (P75F010N90A),16990000,Intel Core i5,10210U,1TB,HDD,4 GB,,AMD 610 GDDR5,,0,0,Dell,hoc-tap-van-phong
Laptop HP 15S-DU1037TX (8RK37PA),17190000,Core i5,10210U,512 GB,SSD,8 GB,DDR4,,1.74 kg,0,0,HP,hoc-tap-van-phong
Laptop HP 15S-DU1040TX (8RE77PA),18690000,Intel Core i7,10510U,512 GB,SSD,8 GB,DDR4,,1.74 kg,0,0,HP,hoc-tap-van-phong
Laptop HP 240 G7 (9FM95PA),9990000,Intel Core i3,7020U,,,4 GB,DDR4,Intel HD Graphics 620,,4.9,10,HP,hoc-tap-van-phong
Laptop Asus X409FA-EK201T,13590000,Core i5,8265U,512 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.5 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus X409UA-EK092T,9390000,,,1TB,HDD,4 GB,DDR4,,1.6 kg,4.4,10,Asus,hoc-tap-van-phong
Laptop Asus S531FA-BQ154T,18490000,Core i5,8265U,512GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.75 kg,0,0,Asus,hoc-tap-van-phong
Laptop Dell Inspiron N3593 (P75F013N93A),13390000,Intel Core i3,1005G1,1TB,HDD,4 GB,,,,0,0,Dell,hoc-tap-van-phong
LAPTOP ASUS S530FA-BQ185T,13190000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,,1.78 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP HP PROBOOK 440 G6 (5YM63PA),12390000,Intel Core i3,8145U,500 GB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,HP,hoc-tap-van-phong
Laptop Acer Swift 3 SF314-41-R8VS R5 (NX.HFDSV.002),14490000,AMD Ryzen™ 5,3500U,256 GB,SSD,4 GB,DDR4,Vega 8,1.5 kg,0,0,Acer,hoc-tap-van-phong
LAPTOP HP PROBOOK 440 G6 (6FG86PA),21990000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,HP,hoc-tap-van-phong
LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),8699000,Intel Core i3,7200U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.91 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP DELL LATITUDE 5490 (70156591),21990000,Intel Core i5,8350U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.8 kg,0,0,DELL,hoc-tap-van-phong
Laptop Asus P1440FA-FA0420T,11590000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,19990000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,MX250,1.85 kg,0,0,HP,hoc-tap-van-phong
LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,21090000,Intel Core i7,8550U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX150,1.79 kg,1.0,1,ASUS,hoc-tap-van-phong
MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),44490000,Intel Core i5,Quad-core,256 GB,SSD,8 GB,DDR3L(On board),Intel Iris Plus Graphics 655,1.37 kg,0,0,MACBOOK,hoc-tap-van-phong
Laptop Asus P1440FA-FA0420T,11590000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,19990000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,MX250,1.85 kg,0,0,HP,hoc-tap-van-phong
LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),18490000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce® GTX 1050,2.4 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP DELL INSPIRON 5584 - N5I5413W-BẠC,19990000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX130,1.95 kg,0,0,DELL,hoc-tap-van-phong
LAPTOP ASUS VIVOBOOK A512FA-EJ571T,11890000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,ASUS,hoc-tap-van-phong
MACBOOK AIR 13.3 INCH 2019 128GB GOLD (MVFM2SA/A),27990000,Intel Core i5,Dual‑core 8th‑gen,128 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 617,1.25 kg,0,0,MACBOOK,hoc-tap-van-phong
LAPTOP ACER ASPIRE A515-53-3153,11490000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 605,2.0 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP ACER SWIFT 3 SF315-52-52Z7- NX.GZBSV.004,14990000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.6 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP ACER SWIFT SF114-32-P2SG NX.GZISV.001,9999000,Intel Pentium,N5000,64 GB,HDD,4 GB,DDR4,Intel UHD Graphics 605,1.4 kg,0,0,ACER,hoc-tap-van-phong
Laptop Asus A412F-EK223T,12190000,Intel Core i3,8145U,512GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,,0,0,Asus,hoc-tap-van-phong
MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),44490000,Intel Core i5,Quad-core,256 GB,SSD,8 GB,DDR3L(On board),Intel Iris Plus Graphics 655,1.37 kg,0,0,MACBOOK,hoc-tap-van-phong
LAPTOP ASUS VIVO BOOK S530UA-BQ278T,15190000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel® UHD Graphics 620,1.44 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP ASUS X407UA - BV309T,8990000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.45 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP ASUS A510UA-EJ1217T,10790000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.78 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP LENOVO THINKPAD E490S 20NGS01N00,21190000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,2.82 kg,0,0,LENOVO,hoc-tap-van-phong
LAPTOP ASUS S510UA-BQ1249T,14990000,Intel Core i5,8250U,,Optane 16GB + 1TB HDD,4 GB,DDR4,Intel UHD Graphics,1.78 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Asus S330FN (EY037T),19990000,Intel Core i5,8265U,512 GB,SSD,8 GB,LPDDR3,NVIDIA GeForce MX150,1.2 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP DELL INSPIRON 15 5570 (M5I5238),16490000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,AMD Radeon 530 2GB GDDR5,2.3 kg,0,0,DELL,hoc-tap-van-phong
Laptop Asus S430FA-EB459T,13490000,Intel Core i3,8145U,256GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.54 kg,0,0,Asus,hoc-tap-van-phong
MACBOOK PRO 13 INCH 128GB 2017 (MPXQ2SA/A),31990000,Intel Core i5,Dual Core,128 GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 640,1.37 kg,0,0,MACBOOK,hoc-tap-van-phong
LAPTOP ASUS X509FJ- EJ053T,13890000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX230,1.8 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP DELL INSPIRON 3580 (70188451),20390000,Intel Core i7,8565U,2TB,HDD,8 GB,DDR4,AMD Radeon 520,2.19 kg,0,0,DELL,hoc-tap-van-phong
Laptop Asus S530UA BQ034T,12690000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,16290000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.95 kg,0,0,DELL,hoc-tap-van-phong
Laptop Asus S530UA BQ034T,12690000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,Asus,hoc-tap-van-phong
Laptop Dell Inspiron 15 5000 5593 N5I5513W,19690000,Core i5,1035G1,256GB,SSD,8 GB,DDR4,NVIDIA,,0,0,Dell,hoc-tap-van-phong
LAPTOP LENOVO THINKPAD L390 20NRS00100,19490000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel HD Graphics 620,1.46 kg,0,0,LENOVO,hoc-tap-van-phong
LAPTOP DELL VOSTRO 13 5370 (7M6D51),19590000,Intel Core i5,8250U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.4 kg,0,0,DELL,hoc-tap-van-phong
Laptop Dell Latitude 3400 (70188730),13690000,Intel Core i3,8145U,256 GB,SSD,8 GB,,,,0,0,Dell,hoc-tap-van-phong
MÁY TÍNH XÁCH TAY ASUS S510UA - BQ222T,12490000,Intel Core i3,8130U,1TB,HDD + SSD,4 GB,DDR4,Intel HD Graphics 620,1.7 kg,0,0,MÁY,hoc-tap-van-phong
Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),47990000,Core i5,Quad-core,512GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 655,1.37 kg,0,0,Macbook,hoc-tap-van-phong
LAPTOP ACER SWIFT 3 SF314-54-58KB NX.GXZSV.002,16999000,Intel Core i5,8250U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,1.5 kg,0,0,ACER,hoc-tap-van-phong
Laptop Acer Swift 3 SF314-56-38UE,14199000,Intel Core i3,8145U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.5 kg,0,0,Acer,hoc-tap-van-phong
LAPTOP ASUS VIVOBOOK S410UN-EB210T,16490000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX150,1.4 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP HP PROBOOK 440 G6 (5YM61PA),16590000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,HP,hoc-tap-van-phong
LAPTOP ACER SWIFT 5 SF514-53T-58PN (NX.H7HSV.001) XANH,22690000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,0.97 kg,0,0,ACER,hoc-tap-van-phong
Laptop Dell Inspiron 7591-N5I5591W,25290000,Core i5,9300H,256GB,SSD,8 GB,DDR4,VGA NVIDIA,,0,0,Dell,hoc-tap-van-phong
LAPTOP DELL INSPIRON 14 3476 (8J61P1),9490000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.97 kg,0,0,DELL,hoc-tap-van-phong
LAPTOP ACER ASPIRE A515-53-30QH (NX.H6BSV.003),10990000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,2.072 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP HP 15-DA0050TU (4ME67PA),8990000,Intel Core i3,7020U,500 GB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.77 kg,0,0,HP,hoc-tap-van-phong
Laptop Asus X509UA-EJ116T,10190000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 520,1.9 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus A512DA-EJ406T,14490000,AMD Ryzen™ 5,3500U,512GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 8 Graphics,1.7 kg,0,0,Asus,hoc-tap-van-phong
Laptop Dell G3 15 3590 - N5I5518W,25190000,Core i5,9300H,512GB,SSD,8 GB,DDR4,NVIDIA,,0,0,Dell,hoc-tap-van-phong
LAPTOP LENOVO THINKPAD E490S 20NGS01K00,18590000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,2.82 kg,0,0,LENOVO,hoc-tap-van-phong
LAPTOP LENOVO THINKPAD L390 20NRS00500,25090000,Intel Core i7,8565U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,1.46 kg,0,0,LENOVO,hoc-tap-van-phong
MACBOOK PRO 13.3 2019 256GB TOUCH BAR GRAY (MUHP2SA/A),39490000,Intel Core i5,Quad‑core 8th‑gen,256 GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 645,1.37 kg,0,0,MACBOOK,hoc-tap-van-phong
MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MUHR2SA/A),39490000,Intel Core i5,Quad‑core 8th‑gen,256 GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 645,1.37 kg,0,0,MACBOOK,hoc-tap-van-phong
LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,13590000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.66 kg,0,0,DELL,hoc-tap-van-phong
Laptop Asus X509UA-EJ116T,10190000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 520,1.9 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP HP 15-DA0050TU (4ME67PA),8990000,Intel Core i3,7020U,500 GB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.77 kg,0,0,HP,hoc-tap-van-phong
Laptop Asus A512DA-EJ406T,14490000,AMD Ryzen™ 5,3500U,512GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 8 Graphics,1.7 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP LENOVO THINKPAD E490S 20NGS01K00,18590000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,2.82 kg,0,0,LENOVO,hoc-tap-van-phong
Laptop Dell G3 15 3590 - N5I5518W,25190000,Core i5,9300H,512GB,SSD,8 GB,DDR4,NVIDIA,,0,0,Dell,hoc-tap-van-phong
LAPTOP ASUS X407U - BV145T,12190000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,1.52 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP DELL N3567 P63F002N67S,9990000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel® UHD Graphics 620,1.9 kg,0,0,DELL,hoc-tap-van-phong
LAPTOP DELL VOSTRO 3468 (70161069),10990000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.76 kg,0,0,DELL,hoc-tap-van-phong
LAPTOP HP 15-DA1022TU (5NK80PA),12990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.77 kg,0,0,HP,hoc-tap-van-phong
Laptop Acer A515-54-54EU (NX.HN3SV.002),15490000,Intel Core i5,10210U,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,Acer,hoc-tap-van-phong
Laptop HP Pavilion 15-CS3015TU (8QP15PA),15590000,,,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,"1,698 kg",0,0,HP,hoc-tap-van-phong
Laptop HP Pavilion 15-CS3011TU (8QN96PA),17190000,Intel Core i5,1035G1,,,,DDR4,Intel UHD Graphics,"1,706 kg",0,0,HP,hoc-tap-van-phong
Laptop Asus UX434FAC-A6116T,24490000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 620,1.26 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus UX434FLC-A6212T,26490000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,NVIDIA GeForce MX250,1.26 kg,0,0,Asus,hoc-tap-van-phong
Laptop HP Pavilion 15-CS3063TX (8RK42PA),21890000,,,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX250,"1,766 kg",0,0,HP,hoc-tap-van-phong
Laptop MSI PS42 8M-288VN,17990000,Intel Core i5,8250U,256 GB,SSD,8 GB,DDR4,Intel® UHD Graphics 620,1.18 kg,0,0,MSI,hoc-tap-van-phong
Laptop Dell Inspiron 15 5584-CXGR01,16990000,Core i5,8265U,1TB,HDD,8 GB,DDR4,Intel UHD Graphics 620,2 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP ASUS S430UA-EB097T,19990000,Intel Core i7,8550U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.40 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Asus UX534FTC-A9168T,30990000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,NVIDIA GeForce GTX 1650,1.55 kg,0,0,Asus,hoc-tap-van-phong
Laptop HP Pavilion 15-CS3119TX (9FN16PA),16590000,Intel Core i5,1035G1,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,"1,746 kg",0,0,HP,hoc-tap-van-phong
Laptop HP Pavilion 15-CS3060TX (8RJ61PA),18190000,Intel Core i5,1035G1,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics,"1,761 kg",0,0,HP,hoc-tap-van-phong
Laptop Dell Inspiron 15 5000 5593 N5I5461W,20690000,Core i5,1035G1,512GB PCie,SSD,8 GB,DDR4,NVIDIA GeForce MX230 2GB,,0,0,Dell,hoc-tap-van-phong
Macbook Pro 16.0 inch 512GB Gray (MVVJ2SA/A),59990000,Intel Core,i7,512 GB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,hoc-tap-van-phong
Macbook Pro 16.0 inch 512GB Silver (MVVL2SA/A),59990000,Intel Core,i7,512 GB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,hoc-tap-van-phong
Macbook Pro 16.0 inch 512GB Gray (MVVJ2SA/A),59990000,Intel Core,i7,512 GB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,hoc-tap-van-phong
Macbook Pro 16.0 inch 512GB Silver (MVVL2SA/A),59990000,Intel Core,i7,512 GB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,hoc-tap-van-phong
Macbook Pro 16.0 inch 1TB Gray (MVVK2SA/A),69990000,Intel Core,i9,1 TB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,hoc-tap-van-phong
Macbook Pro 16.0 inch 1TB Silver (MVVM2SA/A),69990000,Intel Core,i9,1 TB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,hoc-tap-van-phong
