battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,do-hoa-ky-thuat,Core i5,8250U,256 GB,AMD Radeon 530,,,Laptop Dell Vostro 5370 (V5370B),,,1,
,do-hoa-ky-thuat,Core i5,10210U,256 GB,Intel UHD Graphics 620,,,Laptop Acer Aspire A315-54-52HT,,,1,
,do-hoa-ky-thuat,Core i5,10210U,512 PCie,Intel UHD Graphics,,,Laptop Acer Aspire A315-54-59ZJ,,,1,
,do-hoa-ky-thuat,Core i5,9300H,1TB,NVIDIA GeForce GTX 1650 GDDR5,,,Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),,,0,2.23 kg
,do-hoa-ky-thuat,Intel Core i5,8250U,1TB,UHD Intel® 620,,,LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,,,0,2.1 kg
,do-hoa-ky-thuat,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,Laptop HP 14 CK1004TU (5QH84PA),,,0,1.47 kg
,do-hoa-ky-thuat,Intel Core i7,8565U,256 GB,Intel UHD Graphics 620,,,LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),,,1,1.18 kg
,do-hoa-ky-thuat,Intel Core i5,8265U,1TB,NVIDIA GeForce MX 130,,,LAPTOP HP PAVILION 15-CS2056TX,,,0,
,do-hoa-ky-thuat,Intel Core i3,7020U,1TB,Intel® HD Graphics 620,,,Laptop Dell Inspiron N3567,,,0,
,do-hoa-ky-thuat,AMD Ryzen™ 7,2700U,256GB PCie,,,,Laptop HP ProBook 455 G6 6XA63PA,,,1,2.0 kg
,do-hoa-ky-thuat,Intel Core i5,10210U,1TB,AMD 610 GDDR5,,,Laptop Dell Vostro V3590A (P75F010N90A),,,0,
,do-hoa-ky-thuat,Core i5,10210U,512 GB,,,,Laptop HP 15S-DU1037TX (8RK37PA),,,1,1.74 kg
,do-hoa-ky-thuat,Intel Core i7,10510U,512 GB,,,,Laptop HP 15S-DU1040TX (8RE77PA),,,1,1.74 kg
,do-hoa-ky-thuat,Intel Core i7,9750H,512GB,Nvidia GTX 1050Ti + UHD 630,,,Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,,,1,2.3 kg
,do-hoa-ky-thuat,Intel Core i5,8265U,1TB,NVIDIA GeForce MX130,,,LAPTOP DELL V5481 (P92G001V81A),,,0,1.55 kg
,do-hoa-ky-thuat,Intel Core i3,7200U,1TB,Intel HD Graphics 620,,,LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),,,0,1.91 kg
,do-hoa-ky-thuat,AMD Ryzen™ 5,3500U,512 GB,Radeon™ Vega 8 Graphics,,,Laptop Asus UM462DA- AI091T,,,1,1.6 kg
,do-hoa-ky-thuat,Intel Core i7,8550U,1TB,NVIDIA GeForce MX150,,,LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,,,0,1.79 kg
,do-hoa-ky-thuat,Intel Core i7,8565U,1TB,MX250,,,LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,,,0,1.85 kg
,do-hoa-ky-thuat,Intel Core i5,Quad-core,256 GB,Intel Iris Plus Graphics 655,,,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),,,1,1.37 kg
,do-hoa-ky-thuat,Intel Core i5,8300H,1TB,NVIDIA GeForce® GTX 1050,,,LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),,,0,2.4 kg
,do-hoa-ky-thuat,AMD Ryzen™ 7,3750H,512 GB,Intel UHD Graphics 620,,,LAPTOP ASUS FX505D-AL003T,,,1,2.2 kg
,do-hoa-ky-thuat,Intel Core i5,8300H,1TB,NVIDIA GeForce® GTX 1050,,,LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),,,0,2.4 kg
,do-hoa-ky-thuat,AMD Ryzen™ 7,3750H,512 GB,Intel UHD Graphics 620,,,LAPTOP ASUS FX505D-AL003T,,,1,2.2 kg
,do-hoa-ky-thuat,Intel Core i5,8250U,1TB,Intel® UHD Graphics 620,,,LAPTOP ASUS VIVO BOOK S530UA-BQ278T,,,0,1.44 kg
,do-hoa-ky-thuat,Intel Core i5,Quad-core,256 GB,Intel Iris Plus Graphics 655,,,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),,,1,1.37 kg
,do-hoa-ky-thuat,Intel Core i3,8145U,512GB,Intel UHD Graphics 620,,,Laptop Asus A412F-EK223T,,,1,
,do-hoa-ky-thuat,Core i5,1035G1,256GB,NVIDIA,,,Laptop Dell Inspiron 15 5000 5593 N5I5513W,,,1,
,do-hoa-ky-thuat,Intel Core i5,8265U,1TB,NVIDIA GeForce MX130,,,LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,,,0,1.95 kg
