Unnamed: 0,id,title,brand,price,weight,cpu,ssd,ram,battery
230,5469511,Laptop Acer Predator Helios 300 PH315-51-759Y NH.Q3FSV.004 Core i7-8750H/Dos (15.6,Acer,32899000,2.7,Intel Core i7,True,16GB,4 Cell 48 Whrs
231,14011971,Laptop Asus Vivobook 15 X505ZA-EJ493T AMD R3-2200U/ Win10 (15.6,Asus,9990000,1.6,AMD Ryzen 3 2200U,False,4GB,3 Cell 42 Wh Pin
232,22042852,Laptop Lenovo ThinkPad T490s 20NXS00000 Core i5-8265U/ Dos (14 FHD IPS) - Hàng Chính Hãng,Lenovo,28229000,,Intel Core i5,True,8GB,3 Cell 57WHr
233,1992569,Laptop Gaming MSI Stealth GS63 8RD-006VN Core i7-8750H/Win10 (15.6 inch) - Black - Hàng Chính Hãng,MSI,34290000,1.89,Intel Core i7,True,8GB,3 Cell 65 Whrs
234,9689297,Laptop Asus Vivobook S15 S530FN-BQ128T Core i5-8265U/Win10 (15.6,Asus,16649000,1.8,Intel Core i5,True,4GB,3 Cell 42 Whrs
235,1076984,Laptop Asus ZenBook UX370UA-C4217TS Core i7-8550U / Win 10 13.3 inch - Hàng Chính Hãng,Asus,30589000,,,True,8GB,2-cell 39WHrs
236,2665477,The New Macbook 2017 (12 inch) Core i5/ 512GB - Hàng Chính Hãng,Apple,43850000,,Dual-Core,True,8GB,Lithium polymer
237,11501787,Laptop Lenovo ThinkPad L580 20LWS00C00 Core i5-8250U/ Dos (15.6 FHD) - Hàng Chính Hãng,Lenovo,15699000,2,Intel Core i5,,8GB,"3 cell 45 Wh, Pin liền"
238,7404073,Laptop Acer Swift 3 SF315-52-52Z7 NX.GZBSV.004 Core i5-8250U/ Win10 (15.6 inch FHD IPS) - Hàng Chính Hãng,Acer,14699000,1.6,Intel Core i5,False,4GB,4-Cell 3220 mAh
239,1748543,Laptop Lenovo ThinkPad X280 20KFS01900 Core i5-8250U/Free Dos (12.5 inch) - Hàng Chính Hãng (Black),Lenovo,27490000,1.16,Intel Core i5,True,8GB,6 Cells 48 Whrs
240,5473567,Laptop MSI PS42 8M-288VN Core i5-8250U/Win10 (14.0,MSI,17550000,1.18,Intel Core i5,True,8GB,4-Cell 50Whr
241,1574545,Laptop Dell Vostro 5471 VTI5207W Core i5-8250U/Win 10 14 inch (Silver) - Hàng Chính Hãng,Dell,15990000,1.66,Intel Core i5,False,4GB,3 Cell 42Whrs
242,8081145,Laptop Asus Zenbook 13 UX333FA-A4011T Core i5-8265U/Win10/ Numpad (13.3,Asus,21490000,1.09,Intel Core i5,True,8GB,3-Cell 50WHr
243,17595406,Laptop MSI GF63 Thin 9RC-273VN Core i5-9300H/ GTX 1050 4GB/ Win10 (15.6 FHD IPS) - Hàng Chính Hãng,MSI,19259000,1.9,,True,8GB,"3 cell 51 Wh , Pin liền"
244,45362383,Laptop Dell Vostro 5490 70197464 (Core i7-10510U/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ MX250 2GB/ 14 FHD/ Win10) - Hàng Chính Hãng,Dell,22629000,1.49,Intel Core i7,,8GB,3 Cell 42WHr
245,19569302,Laptop Dell Vostro 3578 NGMPF22 Core i5-8250U/ Ubuntu (15 FHD) - Hàng Chính Hãng,Dell,12485000,2.2,Intel Core i5,False,4GB,"4 cell 40 Wh, Pin rời"
246,17519416,Laptop Asus Zenbook Flip 13 UX362FA-EL205T Core i5-8265U/ Win10/ Numpad (13.3 FHD Touch IPS) - Hàng Chính Hãng,Asus,22929000,1.3,"Intel Core i5-8265U (1.60GHz Up to 3.90 GHz, 4Cores, 8Threads, 6MB Cache, FSB 4GT/s)",True,8GB LPDDR3-2133MHz,3-Cell 50WHr
247,34584364,Laptop HP Pavilion 14-ce2049TU 7YA46PA Core i5-8265U/ Win10 (14 FHD IPS) - Hàng Chính Hãng,HP,15639000,,Intel Core i5,True,8GB,3 Cells
248,32438316,Laptop Asus Zenbook 13 UX333FA-A4117T Core i5-8265U/ Win10 (13.3 FHD) - Hàng Chính Hãng,Asus,21239000,1.09,Intel Core i5-8265U 1.6GHz up to 3.9GHz 6MB,True,8GB LPDDR3 2133MHz (Onboard),3 Cell 50WHr Lithium-Polymer
249,39992118,Laptop Dell Inspiron 5593 7WGNV1 Core i5-1035G1/ Win10 (15.6 FHD) - Hàng Chính Hãng,Dell,18049000,1.83,Intel Core i5,True,8GB,3 Cell 42WHr
250,43073458,Laptop ASUS ROG Strix G G731-VEV089T (Core i7-9750H/ 16GB DDR4 2666MHz/ 512GB SSD PCIE/ RTX 2060 6GB/ 17.3 FHD IPS 144Hz/3ms/ Win10) - Hàng Chính Hãng,Asus,38719000,,Intel Core i7-9750H,True,16GB,4 Cell 66WHrs
251,32349084,Laptop Asus Vivobook X409UA-EK093T Core i3-7020U/ Win10 (14 FHD) - Hàng Chính Hãng,Asus,9639000,1.6,Intel Core i3,False,4GB,2 Cells 32WHrs
252,42709350,Laptop ASUS Zenbook UX434FAC-A6116T (Core i5-10210U/ 8GB LPDDR3 2133MHz/ 512GB SSD M.2 PCIE/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Asus,22369000,1.26,Intel Core i5,True,8GB,3 Cell 50WHr Lithium-Polymer
253,42705978,Laptop MSI GL65 9SDK-254VN (Core i7-9750H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE/ GTX 1660Ti 6GB/ 15.6 FHD IPS 120Hz/ Win10) - Hàng Chính Hãng,MSI,30499000,2.3,,True,8GB,6 Cell 51WHr
